T  (s),CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Inj.,Val.
6080.069824,4195.73877,4366.430664,3976.993896,-602.409302,-1413.86853,-1557.390869,-823.544861,-2835.705078,11.0,1.0
6083.470215,4195.47168,4363.932617,3977.646484,-604.867004,-1411.89624,-1556.288818,-824.846558,-2833.388672,11.0,1.0
6086.919922,4196.913086,4366.262695,3977.633545,-603.573547,-1412.130615,-1556.725098,-823.402649,-2833.703857,11.0,1.0
6090.319824,4195.57666,4365.427734,3977.690186,-604.478027,-1411.584351,-1557.25415,-824.886597,-2836.975098,11.0,1.0
6093.779785,4196.053711,4365.195312,3977.227539,-603.778259,-1413.765625,-1557.667725,-825.751221,-2838.745605,11.0,1.0
6097.169922,4194.879883,4364.250488,3976.439453,-605.634033,-1413.529907,-1558.518188,-824.975647,-2839.166504,11.0,1.0
6100.629883,4195.172363,4363.908691,3976.936523,-604.582275,-1414.876221,-1558.227783,-826.01062,-2831.298828,11.0,1.0
6104.129883,4195.547363,4363.924805,3976.932129,-605.529663,-1414.300293,-1554.932007,-827.155029,-2840.323242,11.0,1.0
6107.529785,4195.106445,4363.15625,3977.218506,-604.952148,-1415.224609,-1557.61438,-827.213257,-2839.081299,11.0,1.0
6110.970215,4195.446777,4363.571777,3976.74707,-605.570435,-1415.643555,-1561.021362,-824.926453,-2841.99292,11.0,1.0
6114.379883,4205.106445,4362.196289,3976.450928,-608.062439,-1415.982788,-1559.91626,-828.505005,-2787.641846,11.0,1.0
6117.819824,4205.84082,4361.930664,3975.676758,-606.478882,-1416.573608,-1561.991943,-829.682373,-2785.52124,11.0,1.0
6121.220215,4193.585449,4361.277344,3976.73999,-608.73645,-1418.159912,-1561.655151,-827.651611,-2787.044189,11.0,1.0
6124.669922,4194.813965,4361.296875,3976.82373,-608.914001,-1417.940063,-1562.523804,-828.858398,-2784.667725,11.0,1.0
6128.029785,4193.23584,4360.710449,3974.966797,-608.497192,-1418.629028,-1562.128906,-831.791077,-2786.625,11.0,1.0
6131.470215,4193.84668,4359.866211,3974.796143,-609.468567,-1418.895752,-1563.915283,-830.366333,-2800.209717,11.0,1.0
6134.879883,4192.952637,4359.461426,3974.72168,-609.491699,-1419.320679,-1563.949951,-829.600586,-2845.444824,11.0,1.0
6138.319824,4193.402832,4360.307617,3974.601807,-611.002197,-1419.319214,-1563.574951,-830.23584,-2844.959961,11.0,1.0
6141.720215,4192.899902,4359.110352,3974.929932,-611.695007,-1419.82666,-1564.324707,-832.479187,-2843.968994,11.0,1.0
6145.169922,4193.595215,4358.649902,3974.297363,-611.537537,-1420.437866,-1565.803223,-830.017761,-2843.969727,11.0,1.0
6148.629883,4193.127441,4358.253906,3974.445068,-611.007996,-1421.484497,-1566.175781,-831.633728,-2838.36084,11.0,1.0
6152.129883,4191.810547,4357.188477,3973.199951,-612.70575,-1421.92395,-1563.362549,-832.801453,-2840.033203,12.0,2.0
6155.569824,4192.409668,4356.992187,3972.412109,-612.811829,-1422.672852,-1565.872437,-832.762207,-2791.234131,12.0,2.0
6158.970215,4190.708008,4356.879883,3972.679199,-614.338562,-1422.479248,-1566.662109,-831.816528,-2788.560791,12.0,2.0
6162.419922,4191.255371,4356.115723,3972.749268,-614.990723,-1422.783813,-1567.321045,-833.860962,-2788.070557,12.0,2.0
6165.819824,4202.892578,4356.292969,3972.966064,-613.411865,-1421.354248,-1567.252075,-833.663269,-2790.575928,12.0,2.0
6169.279785,4203.166016,4355.611328,3971.924561,-613.983459,-1423.71875,-1568.634521,-833.766663,-2789.770264,12.0,2.0
6172.669922,4190.13916,4355.607422,3972.738037,-615.433044,-1424.479004,-1568.973145,-833.971069,-2791.673096,12.0,2.0
6176.129883,4190.472168,4355.174316,3972.233887,-614.867004,-1424.53186,-1569.046143,-834.375305,-2792.777588,12.0,2.0
6179.529785,4190.085937,4354.939453,3971.659668,-614.710266,-1424.454224,-1569.071411,-834.02417,-2794.245117,12.0,2.0
6182.970215,4190.189453,4354.441406,3972.116455,-616.933472,-1424.58313,-1569.175049,-835.020203,-2799.393066,12.0,2.0
6186.419922,4190.160156,4354.661621,3972.755859,-616.075256,-1424.850098,-1569.609741,-833.950378,-2793.274658,12.0,2.0
6189.819824,4189.81543,4354.321777,3973.105713,-616.253479,-1424.849976,-1568.6521,-834.97821,-2790.895752,12.0,2.0
6193.279785,4190.334961,4354.04834,3972.821289,-614.965759,-1424.098145,-1567.621948,-833.843994,-2789.145996,12.0,2.0
6196.669922,4189.654785,4353.422363,3971.827881,-615.675598,-1424.05542,-1567.052734,-833.5849,-2792.556641,12.0,2.0
6200.129883,4189.657715,4353.03125,3972.368408,-613.732483,-1423.069946,-1565.897949,-833.523132,-2792.124512,12.0,2.0
6203.470215,4188.941895,4353.341797,3972.814697,-612.968018,-1422.646362,-1565.696411,-833.653015,-2795.59082,12.0,2.0
6206.919922,4189.5,4352.660156,3971.951172,-614.054321,-1423.261475,-1565.858398,-834.168213,-2789.042725,12.0,2.0
6210.319824,4189.529297,4351.78418,3971.494629,-613.974121,-1423.183716,-1566.125732,-835.227112,-2791.658691,12.0,2.0
